index;final_turbidity;prediction
80;1;-0,02
85;1;-9,11
16;1;3,36
65;3;6,34
6;21;10,03
15;1;4,57
9;1;4,51
16;1;3,36
46;6;11,86
29;3;6,4
14;2;5,14
0;0;0,1
18;1;3,36
69;4;5,2
85;1;-9,11
25;5;4,36
9;1;4,51
66;4;6,06
56;0;5,68
42;1;6,35
30;6;6,33
24;5;4,14
60;1;-0,19
2;1;0,65
68;3;4,84
32;1;0,19
28;2;3,49
19;1;3,36
45;4;6,04
75;24;8,64
73;5;4,91
67;5;5,91
5;1;1,82
37;2;3,85
74;2;14,97
68;3;4,84
78;1;2,02
17;1;3,36
