"surface water age (days)";"initial pH (-)";"initial EC (microS/cm)";"initial turbidity (NTU)";"flocculant age (days)";"Husk removed?";"saline Molarity (mol/l)";"filtered?";"floc dose (mg/l)";"stirring speed coagulation phase (rpm)";"duration coagulation phase (min)";"stirring speed flocculation phase (rpm)";"duration flocculation phase (min)";"stirring speed sedimentation phase (rpm)";"duration sedimentation phase (min)";"final pH (-)";"final EC (microS/cm)";"final turbidity (NTU)";"performance"
1.00;8.47;811;142;0.00;0;0;1;200;100;2;20;15;0;45;8.34;1168.00;3;0.97
1.00;8.47;811;142;0.00;0;0;1;0;100;2;20;15;0;45;8.48;810.00;18;0.87
1.00;8.47;811;142;0.00;0;0;1;200;100;2;20;15;0;45;8.31;1149.00;6;0.95
1.00;8.47;811;142;0.00;0;0;1;200;100;2;20;15;0;45;8.32;1151.00;4;0.97
1.00;8.47;811;142;0.00;0;0;1;200;100;2;20;15;0;45;8.31;1156.00;3;0.97
1.00;8.47;811;142;0.00;0;0;1;200;100;2;20;15;0;45;8.31;1162.00;3;0.97
1.00;8.47;811;142;0.00;0;0;1;200;100;2;20;15;0;45;8.30;1170.00;3;0.97
1.00;8.47;811;142;0.00;0;0;1;0;100;2;20;15;0;45;8.49;812.00;23;0.83
2.00;8.47;811;142;0.00;0;0;1;200;100;3;20;15;0;45;8.38;1144.00;5;0.96
2.00;8.47;811;142;0.00;0;0;1;200;100;3;20;15;0;45;8.40;1141.00;5;0.96
2.00;8.47;811;142;0.00;0;0;1;200;100;3;20;15;0;45;8.39;1139.00;4;0.97
2.00;8.47;811;142;0.00;0;0;1;200;100;3;20;15;0;45;8.40;1135.00;4;0.97
2.00;8.47;811;142;0.00;0;0;1;200;100;3;20;15;0;45;8.40;1138.00;4;0.97
2.00;8.47;811;142;0.00;0;0;1;0;100;3;20;15;0;45;8.49;812.00;26;0.81
2.00;8.47;811;142;0.00;0;0;1;200;100;3;20;15;0;45;8.36;1146.00;3;0.97
2.00;8.47;811;142;0.00;0;0;1;200;100;3;20;15;0;45;8.37;1157.00;4;0.97
2.00;8.47;811;142;0.00;0;0;1;200;100;3;20;15;0;45;8.37;1165.00;3;0.97
2.00;8.47;811;142;0.00;0;0;1;200;100;3;20;15;0;45;8.37;1139.00;3;0.97
2.00;8.47;811;142;0.00;0;0;1;200;100;3;20;15;0;45;8.38;1149.00;3;0.97
2.00;8.47;811;142;0.00;0;0;1;0;100;3;20;15;0;45;8.53;811.00;23;0.83
1.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.39;1156.00;4;0.97
1.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.41;1153.00;4;0.97
1.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.41;1155.00;4;0.97
1.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.42;1139.00;4;0.97
1.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.42;1151.00;5;0.96
1.00;8.46;806;143;0.00;0;0;1;0;100;3;20;15;0;45;8.51;812.00;24;0.83
3.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.42;1156.00;5;0.96
3.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.45;1167.00;6;0.95
3.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.47;1172.00;6;0.95
3.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.49;1179.00;6;0.95
3.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.51;1161.00;7;0.95
3.00;8.46;806;143;0.00;0;0;1;0;100;3;20;15;0;45;8.52;812.00;23;0.83
3.00;8.46;806;143;0.00;0;0;1;200;100;2;20;15;0;45;8.37;1149.00;4;0.97
3.00;8.46;806;143;0.00;0;0;1;350;100;2;20;15;0;45;8.26;1399.00;5;0.96
3.00;8.46;806;143;0.00;0;0;1;200;100;2;20;15;0;45;8.38;1142.00;3;0.97
3.00;8.46;806;143;0.00;0;0;1;200;100;2;20;15;0;45;8.36;1146.00;3;0.97
3.00;8.46;806;143;0.00;0;0;1;200;100;2;20;15;0;45;8.35;1164.00;5;0.96
2.00;8.60;409;126;0.00;0;1;0;200;100;1;20;20;0;60;7.90;1499.00;4;0.96
2.00;8.60;409;126;0.00;0;1;0;0;100;1;20;20;0;60;8.50;415.00;59;0.53
0.00;8.40;408;120;0.00;0;1;0;200;100;1;20;20;0;60;7.80;1535.00;5;0.95
0.00;8.40;408;120;0.00;0;1;0;200;100;1;20;20;0;60;7.70;1551.00;6;0.95
0.00;8.40;408;120;0.00;0;1;0;200;100;1;20;20;0;60;7.80;1544.00;4;0.96
0.00;8.40;408;120;0.00;0;1;0;0;100;1;20;20;0;60;8.40;414.00;48;0.60
7.00;8.40;408;120;0.00;0;0;0;200;100;1;20;20;0;60;7.90;989.00;6;0.95
7.00;8.40;408;120;0.00;0;0;0;200;100;1;20;20;0;60;7.90;973.00;4;0.96
7.00;8.40;408;120;0.00;0;0;0;200;100;1;20;20;0;60;7.90;1002.00;4;0.96
7.00;8.40;408;120;0.00;0;0;0;200;100;1;20;20;0;60;7.90;983.00;4;0.96
7.00;8.40;408;120;0.00;0;0;0;200;100;1;20;20;0;60;7.90;990.00;4;0.96
7.00;8.40;408;120;0.00;0;0;0;0;100;1;20;20;0;60;8.40;420.00;54;0.55
7.00;8.40;408;120;0.00;0;0;0;200;100;1;20;20;0;60;7.80;976.00;5;0.95
7.00;8.40;408;120;0.00;0;0;0;200;100;1;20;20;0;60;7.80;954.00;5;0.95
7.00;8.40;408;120;0.00;0;0;0;200;100;1;20;20;0;60;7.80;982.00;7;0.94
7.00;8.40;408;120;0.00;0;0;0;200;100;1;20;20;0;60;7.70;1000.00;4;0.96
7.00;8.40;408;120;0.00;0;0;0;0;100;1;20;20;0;60;8.30;420.00;57;0.52
0.00;8.40;408;130;0.00;0;0;0;200;100;1;20;10;0;60;7.60;970.00;7;0.94
0.00;8.40;408;130;0.00;0;0;0;200;100;1;20;10;0;60;7.60;964.00;10;0.92
0.00;8.40;408;130;0.00;0;0;0;200;100;1;20;10;0;60;7.60;990.00;7;0.94
0.00;8.40;408;130;0.00;0;0;0;200;100;1;20;10;0;60;7.60;953.00;9;0.93
0.00;8.40;408;130;0.00;0;0;0;200;100;1;20;10;0;60;7.60;972.00;9;0.93
0.00;8.40;408;130;0.00;0;0;0;0;100;1;20;10;0;60;8.30;410.00;53;0.59
0.00;8.40;396;126;0.00;0;0;0;200;100;1;20;20;0;60;7.90;404.00;42;0.66
0.00;8.40;396;126;0.00;0;0;0;200;100;1;20;20;0;60;8.00;403.00;40;0.68
0.00;8.40;396;126;0.00;0;0;0;200;100;1;20;20;0;60;7.80;514.00;8;0.93
0.00;8.40;396;126;0.00;0;0;0;200;100;1;20;20;0;60;7.80;733.00;3;0.97
0.00;8.40;396;126;0.00;0;0;0;200;100;1;20;20;0;60;7.80;954.00;3;0.97
0.00;8.40;396;126;0.00;0;0;0;200;100;1;20;5;0;45;7.90;727.00;23;0.81
0.00;8.40;396;126;0.00;0;0;0;200;100;1;20;10;0;45;7.90;727.00;13;0.89
0.00;8.40;396;126;0.00;0;0;0;200;100;1;20;15;0;45;7.80;745.00;9;0.92
0.00;8.40;396;126;0.00;0;0;0;200;100;1;20;10;0;30;7.80;744.00;18;0.85
0.00;8.40;396;126;0.00;0;0;0;200;100;1;20;20;0;45;7.80;737.00;8;0.93
0.00;8.40;396;126;0.00;0;0;0;0;100;1;20;20;0;45;8.30;399.00;54;0.57
0.00;8.40;396;126;0.00;0;0;0;0;100;1;20;20;0;60;8.30;399.00;47;0.62
6.00;8.40;396;126;6.00;0;0;0;200;100;1;20;15;0;45;8.00;722.00;9;0.92
6.00;8.40;396;126;6.00;0;0;0;200;100;1;20;15;0;45;8.00;762.00;9;0.92
6.00;8.40;396;126;6.00;0;0;0;200;100;1;20;15;0;45;8.00;763.00;7;0.94
6.00;8.40;396;126;6.00;0;0;0;200;100;1;20;15;0;45;8.00;749.00;7;0.94
6.00;8.40;396;126;6.00;0;0;0;200;100;1;20;15;0;45;8.00;753.00;6;0.95
6.00;8.40;396;126;6.00;0;0;0;0;100;1;20;15;0;45;8.40;404.00;62;0.50
0.00;8.80;387;124;0.00;1;0;0;200;100;1;20;15;0;45;8.10;745.00;10;0.91
0.00;8.80;387;124;0.00;1;0;0;200;100;1;20;15;0;45;8.20;749.00;7;0.94
0.00;8.80;387;124;0.00;1;0;0;200;100;1;20;15;0;45;8.20;739.00;7;0.94
0.00;8.80;387;124;0.00;1;0;0;200;100;1;20;15;0;45;8.20;759.00;8;0.93
0.00;8.80;387;124;0.00;1;0;0;200;100;1;20;15;0;45;8.20;758.00;8;0.93
0.00;8.80;387;124;0.00;1;0;0;0;100;1;20;15;0;45;8.75;391.00;44;0.64
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;7.98;739.00;11;0.91
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;7.98;749.00;9;0.92
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;7.99;737.00;8;0.93
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;7.97;751.00;8;0.93
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;7.98;759.00;7;0.94
0.00;8.54;393;125;0.00;0;0;1;0;100;1;20;15;0;45;8.48;402.00;50;0.60
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;8.06;741.00;10;0.92
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;8.06;749.00;9;0.92
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;8.07;751.00;8;0.93
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;8.08;736.00;12;0.90
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;8.08;743.00;11;0.91
0.00;8.54;393;125;0.00;0;0;1;0;100;1;20;15;0;45;8.56;404.00;55;0.56
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;8.00;747.00;14;0.88
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;8.03;749.00;12;0.90
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;8.03;739.00;9;0.92
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;8.03;756.00;11;0.91
0.00;8.54;393;125;0.00;0;0;1;200;100;1;20;15;0;45;7.99;758.00;13;0.89
0.00;8.54;393;125;0.00;0;0;1;0;100;1;20;15;0;45;8.51;408.00;55;0.56
1.00;8.96;396;150;0.00;1;0;1;50;100;1;20;15;0;45;8.85;475.00;25;0.83
1.00;8.96;396;150;0.00;1;0;1;100;100;1;20;15;0;45;8.73;557.00;15;0.90
1.00;8.96;396;150;0.00;1;0;1;150;100;1;20;15;0;45;8.62;645.00;11;0.92
1.00;8.96;396;150;0.00;1;0;1;250;100;1;20;15;0;45;8.38;775.00;7;0.95
1.00;8.96;396;150;0.00;1;0;1;300;100;1;20;15;0;45;8.30;872.00;8;0.94
1.00;8.96;396;150;0.00;1;0;1;0;100;1;20;15;0;45;8.87;396.00;53;0.64
1.00;8.96;396;150;0.00;1;0;1;50;100;1;20;15;0;45;8.66;482.00;25;0.83
1.00;8.96;396;150;0.00;1;0;1;100;100;1;20;15;0;45;8.51;564.00;11;0.92
1.00;8.96;396;150;0.00;1;0;1;150;100;1;20;15;0;45;8.35;643.00;9;0.94
1.00;8.96;396;150;0.00;1;0;1;250;100;1;20;15;0;45;8.07;781.00;7;0.95
0.00;8.30;419;136;0.00;0;0;1;200;100;1;20;30;0;45;7.60;794.00;4;0.97
0.00;8.30;419;136;0.00;0;0;1;200;100;1;20;30;0;45;7.10;820.00;9;0.93
0.00;8.30;419;136;0.00;0;0;1;200;100;1;20;30;0;45;6.90;823.00;14;0.89
0.00;8.30;419;136;0.00;0;0;1;200;100;1;20;30;0;45;6.70;841.00;18;0.86
0.00;8.30;419;136;0.00;0;0;1;200;100;1;20;30;0;45;6.60;845.00;22;0.83
0.00;8.50;452;161;0.00;0;0;1;200;100;1;20;45;0;45;7.60;827.00;3;0.98
0.00;8.50;452;161;0.00;0;0;1;200;100;1;20;45;0;45;7.00;861.00;7;0.95
0.00;8.50;452;161;0.00;0;0;1;200;100;1;20;45;0;45;7.00;861.00;7;0.95
0.00;8.50;452;161;0.00;0;0;1;200;100;1;20;45;0;45;6.80;864.00;11;0.93
0.00;8.50;452;161;0.00;0;0;1;200;100;1;20;45;0;45;6.70;877.00;15;0.90
0.00;8.30;465;170;0.00;0;0;1;200;100;1;20;60;0;45;7.60;838.00;2;0.98
3.00;8.46;806;143;0.00;0;0;1;0;100;2;20;15;0;45;8.51;811.00;25;0.82
6.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.29;1142.00;5;0.96
6.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.28;1154.00;5;0.96
6.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.30;1150.00;4;0.97
6.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.33;1156.00;4;0.97
6.00;8.46;806;143;97.00;0;0;0;5;100;3;20;15;0;45;8.23;821.00;1;0.99
6.00;8.46;806;143;0.00;0;0;1;0;100;3;20;15;0;45;8.43;813.00;23;0.83
6.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.29;1136.00;5;0.96
6.00;8.46;806;143;0.00;0;0;1;200;100;3;20;15;0;45;8.33;1150.00;6;0.95
6.00;8.46;806;143;97.00;0;0;0;5;100;3;20;15;0;45;8.23;820.00;1;0.99
6.00;8.46;806;143;0.00;0;0;1;0;100;3;20;15;0;45;8.43;811.00;27;0.81
0.00;8.63;407;125;0.00;1;0;1;200;200;2;20;15;0;45;7.90;787.00;11;0.91
0.00;8.63;407;125;0.00;1;0;1;200;200;2;20;15;0;45;7.91;759.00;12;0.90
0.00;8.63;407;125;0.00;1;0;1;200;200;2;20;15;0;45;7.90;773.00;9;0.92
0.00;8.63;407;125;0.00;1;0;1;200;200;2;20;15;0;45;;;9;0.92
0.00;8.63;407;125;0.00;1;0;1;0;200;2;20;15;0;45;8.54;410.00;50;0.60
0.00;8.63;407;125;0.00;1;0;1;200;200;3;20;15;0;45;7.93;783.00;11;0.91
0.00;8.63;407;125;0.00;1;0;1;200;200;3;20;15;0;45;7.92;760.00;15;0.88
0.00;8.63;407;125;0.00;1;0;1;200;200;3;20;15;0;45;;;12;0.90
0.00;8.63;407;125;0.00;1;0;1;0;200;3;20;15;0;45;8.56;412.00;53;0.57
15.00;8.63;407;125;0.00;1;0;0;200;200;3;20;15;0;45;7.84;761.00;23;0.81
15.00;8.63;407;125;0.00;1;0;0;200;200;3;20;15;0;45;7.92;781.00;15;0.88
15.00;8.63;407;125;0.00;1;0;0;200;200;3;20;15;0;45;7.82;775.00;12;0.90
15.00;8.63;407;125;23.00;0;0;0;5;200;3;20;15;0;45;7.80;424.00;8;0.93
15.00;8.63;407;125;23.00;0;0;0;5;200;3;20;15;0;45;7.82;426.00;8;0.93
15.00;8.63;407;125;0.00;1;0;0;0;200;3;20;15;0;45;8.36;421.00;57;0.54
0.00;8.77;411;128;0.00;1;0;0;200;100;3;20;15;0;45;7.67;769.00;29;0.77
0.00;8.77;411;128;0.00;1;0;0;200;100;3;20;15;0;45;7.72;779.00;31;0.75
0.00;8.77;411;128;0.00;1;0;0;200;100;3;20;15;0;45;7.83;679.00;20;0.84
0.00;8.77;411;128;0.00;1;0;0;0;100;3;20;15;0;45;8.52;417.00;55;0.57
4.00;8.77;411;128;0.00;1;0;1;200;200;2;20;15;0;45;7.99;759.00;28;0.78
4.00;8.77;411;128;0.00;1;0;1;200;200;2;20;15;0;45;8.06;763.00;29;0.77
4.00;8.77;411;128;0.00;1;0;1;200;200;2;20;15;0;45;8.05;760.00;30;0.76
4.00;8.77;411;128;0.00;1;0;1;200;200;2;20;15;0;45;8.04;771.00;39;0.69
4.00;8.77;411;128;0.00;1;0;1;200;200;2;20;15;0;45;8.02;772.00;24;0.81
4.00;8.77;411;128;0.00;1;0;1;0;200;2;20;15;0;45;8.45;421.00;57;0.55
4.00;8.77;411;128;0.00;0;0;1;200;200;2;20;15;0;45;8.09;742.00;22;0.82
4.00;8.77;411;128;0.00;0;0;1;250;200;2;20;15;0;45;7.95;848.00;29;0.77
4.00;8.77;411;128;0.00;0;0;1;300;200;2;20;15;0;45;7.92;913.00;19;0.85
4.00;8.77;411;128;0.00;0;0;1;350;200;2;20;15;0;45;7.83;979.00;20;0.84
4.00;8.77;411;128;0.00;0;0;1;400;200;2;20;15;0;45;7.75;1039.00;25;0.80
4.00;8.77;411;128;0.00;0;0;1;0;200;2;20;15;0;45;8.36;423.00;59;0.53
0.00;8.40;749;134;27.00;0;0;1;50;100;1;20;15;0;45;8.30;778.00;20;0.85
0.00;8.40;749;134;27.00;0;0;1;100;100;1;20;15;0;45;8.30;879.00;28;0.79
0.00;8.40;749;134;27.00;0;0;1;200;100;1;20;15;0;45;8.30;987.00;35;0.73
0.00;8.40;749;134;27.00;0;0;1;300;100;1;20;15;0;45;8.30;1100.00;38;0.71
0.00;8.40;749;134;27.00;0;0;1;400;100;1;20;15;0;45;8.20;1227.00;42;0.68
0.00;8.40;749;134;27.00;0;0;1;0;100;1;20;15;0;45;8.40;754.00;15;0.88
0.00;8.50;414;142;0.00;0;0;1;100;100;1;20;15;0;30;8.40;415.00;53;0.62
0.00;8.50;414;142;0.00;0;0;1;200;100;1;20;15;0;30;8.40;417.00;48;0.66
0.00;8.50;414;142;0.00;0;0;1;300;100;1;20;15;0;30;8.30;418.00;48;0.66
0.00;8.50;414;142;0.00;0;0;1;400;100;1;20;15;0;30;8.40;420.00;48;0.66
0.00;8.50;414;142;0.00;0;0;1;600;100;1;20;15;0;30;8.30;423.00;48;0.66
0.00;8.50;414;142;0.00;0;0;1;0;100;1;20;15;0;30;8.40;414.00;48;0.66
0.00;8.40;749;134;0.00;0;0;1;100;100;1;20;15;0;30;8.30;752.00;29;0.78
0.00;8.40;749;134;0.00;0;0;1;200;100;1;20;15;0;30;8.30;751.00;29;0.78
0.00;8.40;749;134;0.00;0;0;1;300;100;1;20;15;0;30;8.30;752.00;30;0.77
0.00;8.40;749;134;0.00;0;0;1;400;100;1;20;15;0;30;8.30;753.00;27;0.79
0.00;8.40;749;134;0.00;0;0;1;600;100;1;20;15;0;30;8.30;755.00;27;0.79
0.00;8.40;749;134;0.00;0;0;1;0;100;1;20;15;0;30;8.40;751.00;26;0.80
0.00;8.50;414;142;-1.00;0;0;0;10;100;1;20;15;0;45;8.30;420.00;62;0.56
0.00;8.50;414;142;-1.00;0;0;0;20;100;1;20;15;0;45;8.40;420.00;57;0.59
0.00;8.50;414;142;-1.00;0;0;0;60;100;1;20;15;0;45;8.30;428.00;57;0.59
0.00;8.50;414;142;-1.00;0;0;0;100;100;1;20;15;0;45;8.30;434.00;53;0.62
0.00;8.50;414;142;-1.00;0;0;0;200;100;1;20;15;0;45;8.10;448.00;60;0.57
0.00;8.50;414;142;-1.00;0;0;0;0;100;1;20;15;0;45;8.40;415.00;55;0.61
1.00;8.40;749;134;0.00;0;0;0;10;100;1;20;15;0;5;8.40;752.00;37;0.72
1.00;8.40;749;134;0.00;0;0;0;20;100;1;20;15;0;5;8.30;757.00;36;0.73
1.00;8.40;749;134;0.00;0;0;0;60;100;1;20;15;0;5;8.30;757.00;26;0.80
1.00;8.40;749;134;0.00;0;0;0;100;100;1;20;15;0;5;8.30;760.00;25;0.81
1.00;8.40;749;134;0.00;0;0;0;200;100;1;20;15;0;5;8.30;774.00;23;0.82
1.00;8.40;749;134;0.00;0;0;0;0;100;1;20;15;0;5;8.40;753.00;36;0.73
15.00;8.40;749;134;0.00;0;0;0;200;100;1;20;15;0;25;8.20;777.00;18;0.86
15.00;8.40;749;134;0.00;0;0;0;250;100;1;20;15;0;25;8.20;774.00;20;0.85
15.00;8.40;749;134;0.00;0;0;0;300;100;1;20;15;0;25;8.10;786.00;22;0.83
15.00;8.40;749;134;0.00;0;0;0;350;100;1;20;15;0;25;8.10;790.00;23;0.82
15.00;8.40;749;134;0.00;0;0;0;400;100;1;20;15;0;25;8.10;791.00;24;0.82
15.00;8.40;749;134;0.00;0;0;0;0;100;1;20;15;0;25;8.20;755.00;39;0.70
15.00;8.40;749;134;0.00;0;0;0;50;100;1;20;15;0;45;8.20;801.00;22;0.83
15.00;8.40;749;134;0.00;0;0;0;100;100;1;20;15;0;45;8.20;854.00;23;0.82
15.00;8.40;749;134;0.00;0;0;0;200;100;1;20;15;0;45;8.20;947.00;24;0.82
15.00;8.40;749;134;0.00;0;0;0;300;100;1;20;15;0;45;8.10;1072.00;24;0.82
15.00;8.40;749;134;0.00;0;0;0;0;100;1;20;15;0;45;8.20;755.00;46;0.65
19.00;8.50;414;142;0.00;0;0;0;50;100;1;20;15;0;30;8.10;483.00;60;0.57
19.00;8.50;414;142;0.00;0;0;0;100;100;1;20;15;0;30;8.40;457.00;61;0.57
19.00;8.50;414;142;0.00;0;0;0;150;100;1;20;15;0;30;8.20;631.00;51;0.64
19.00;8.50;414;142;0.00;0;0;0;200;100;1;20;15;0;30;8.10;684.00;49;0.65
19.00;8.50;414;142;0.00;0;0;0;250;100;1;20;15;0;30;8.00;769.00;54;0.61
19.00;8.50;414;142;0.00;0;0;0;0;100;1;20;15;0;30;8.40;421.00;60;0.57
19.00;8.40;749;134;0.00;0;0;0;50;100;1;20;15;0;15;8.20;756.00;23;0.82
19.00;8.40;749;134;0.00;0;0;0;10;100;1;20;15;0;15;8.20;761.00;30;0.77
19.00;8.40;749;134;0.00;0;0;0;20;100;1;20;15;0;15;8.20;775.00;23;0.82
19.00;8.40;749;134;0.00;0;0;0;60;100;1;20;15;0;15;8.20;812.00;19;0.85
19.00;8.40;749;134;0.00;0;0;0;250;100;1;20;15;0;15;8.20;1061.00;22;0.83
19.00;8.40;749;134;0.00;0;0;0;350;100;1;20;15;0;15;8.10;1187.00;25;0.81
2.00;8.00;398;14;0.00;0;0;0;100;100;1;20;15;0;45;7.80;401.00;8;0.42
2.00;8.00;398;14;0.00;0;0;0;200;100;1;20;15;0;45;7.80;423.00;14;0.00
2.00;8.00;398;14;0.00;0;0;0;250;100;1;20;15;0;45;7.70;431.00;16;-0.14
2.00;8.00;398;14;0.00;0;0;0;300;100;1;20;15;0;45;7.70;437.00;19;-0.35
2.00;8.00;398;14;0.00;0;0;0;350;100;1;20;15;0;45;7.70;440.00;21;-0.50
2.00;8.00;398;14;0.00;0;0;0;0;100;1;20;15;0;45;7.80;397.00;7;0.50
1.00;8.20;749;123;2.00;0;0;0;100;100;1;25;15;0;45;8.20;752.00;24;0.80
1.00;8.20;749;123;2.00;0;0;0;150;100;1;25;15;0;45;8.20;761.00;20;0.83
1.00;8.20;749;123;2.00;0;0;0;200;100;1;25;15;0;45;8.20;768.00;22;0.82
1.00;8.20;749;123;2.00;0;0;0;250;100;1;25;15;0;45;8.20;773.00;19;0.84
1.00;8.20;749;123;2.00;0;0;0;350;100;1;25;15;0;45;8.20;777.00;17;0.86
1.00;8.20;749;123;2.00;0;0;0;0;100;1;25;15;0;45;8.30;748.00;17;0.86
1.00;8.20;749;123;2.00;0;0;0;100;200;1;40;15;0;15;8.30;757.00;15;0.87
1.00;8.20;749;123;2.00;0;0;0;150;200;1;40;15;0;15;8.30;761.00;15;0.87
1.00;8.20;749;123;2.00;0;0;0;200;200;1;40;15;0;15;8.30;767.00;16;0.86
1.00;8.20;749;123;2.00;0;0;0;250;200;1;40;15;0;15;8.20;775.00;20;0.83
1.00;8.20;749;123;2.00;0;0;0;350;200;1;40;15;0;15;8.20;780.00;19;0.84
1.00;8.20;749;123;2.00;0;0;0;0;200;1;40;15;0;15;8.30;746.00;20;0.83
2.00;8.20;749;123;3.00;0;0;0;100;200;1;60;15;0;15;8.30;758.00;14;0.88
2.00;8.20;749;123;3.00;0;0;0;150;200;1;60;15;0;15;8.30;761.00;15;0.87
2.00;8.20;749;123;3.00;0;0;0;200;200;1;60;15;0;15;8.30;772.00;16;0.86
2.00;8.20;749;123;3.00;0;0;0;250;200;1;60;15;0;15;8.20;771.00;17;0.86
2.00;8.20;749;123;3.00;0;0;0;300;200;1;60;15;0;15;8.20;774.00;19;0.84
2.00;8.20;749;123;3.00;0;0;0;0;200;1;60;15;0;15;8.30;747.00;24;0.80
2.00;8.20;749;123;-5.00;0;0;0;200;100;1;20;15;0;15;8.30;762.00;19;0.84
2.00;8.20;749;123;-5.00;0;0;0;200;100;1;20;15;0;15;8.30;768.00;17;0.86
2.00;8.20;749;123;-5.00;0;0;0;200;100;1;20;15;0;15;8.30;766.00;19;0.84
1.00;8.50;409;139;0.00;0;0;1;50;100;1;20;15;0;45;8.30;421.00;66;0.52
1.00;8.50;409;139;0.00;0;0;1;100;100;1;20;15;0;45;8.20;420.00;67;0.51
1.00;8.50;409;139;0.00;0;0;1;150;100;1;20;15;0;45;8.00;420.00;65;0.53
1.00;8.50;409;139;0.00;0;0;1;200;100;1;20;15;0;45;7.90;419.00;72;0.48
1.00;8.50;409;139;0.00;0;0;1;250;100;1;20;15;0;45;7.80;419.00;80;0.42
1.00;8.50;409;139;0.00;0;0;1;0;100;1;20;15;0;45;8.50;421.00;55;0.60
1.00;8.20;749;123;0.00;0;0;1;50;100;1;25;15;0;45;8.30;748.00;15;0.87
1.00;8.20;749;123;0.00;0;0;1;100;100;1;25;15;0;45;8.30;748.00;15;0.87
1.00;8.20;749;123;0.00;0;0;1;150;100;1;25;15;0;45;8.30;750.00;15;0.87
1.00;8.20;749;123;0.00;0;0;1;200;100;1;25;15;0;45;8.30;748.00;14;0.88
1.00;8.20;749;123;0.00;0;0;1;250;100;1;25;15;0;45;8.30;751.00;10;0.91
1.00;8.20;749;123;0.00;0;0;1;0;100;1;25;15;0;45;8.30;749.00;21;0.82
0.00;4.00;413;150;0.00;0;0;1;30;100;1;20;15;0;45;5.90;496.00;23;0.84
0.00;5.00;413;150;0.00;0;0;1;30;100;1;20;15;0;45;6.00;480.00;29;0.80
0.00;6.00;413;150;0.00;0;0;1;30;100;1;20;15;0;45;6.50;455.00;55;0.63
0.00;7.00;413;150;0.00;0;0;1;30;100;1;20;15;0;45;7.40;430.00;58;0.61
0.00;8.30;413;150;0.00;0;0;1;30;100;1;20;15;0;45;8.30;422.00;52;0.65
0.00;8.30;413;150;0.00;0;0;1;0;100;1;20;15;0;45;8.40;422.00;50;0.66
1.00;8.20;749;123;0.00;0;0;1;50;100;1;20;15;0;45;8.20;746.00;28;0.77
1.00;8.20;749;123;0.00;0;0;1;100;100;1;20;15;0;45;8.30;747.00;22;0.82
1.00;8.20;749;123;0.00;0;0;1;200;100;1;20;15;0;45;8.30;751.00;14;0.88
1.00;8.20;749;123;0.00;0;0;1;250;100;1;20;15;0;45;8.30;752.00;13;0.89
1.00;8.20;749;123;0.00;0;0;1;0;100;1;20;15;0;45;8.30;749.00;25;0.79
3.00;9.60;315;131;0.00;0;0;1;100;100;1;20;15;0;45;9.20;323.00;52;0.60
3.00;9.60;315;131;0.00;0;0;1;150;100;1;20;15;0;45;9.00;326.00;57;0.56
3.00;9.60;315;131;0.00;0;0;1;200;100;1;20;15;0;45;8.80;330.00;56;0.57
3.00;9.60;315;131;0.00;0;0;1;250;100;1;20;15;0;45;8.50;334.00;57;0.56
3.00;9.60;315;131;0.00;0;0;1;300;100;1;20;15;0;45;8.20;338.00;56;0.57
3.00;9.60;315;131;0.00;0;0;1;0;100;1;20;15;0;45;9.40;317.00;45;0.65
