index;final_turbidity;prediction
80;1;1,0
85;1;0,87
16;1;1,0
65;3;3,01
6;21;21,0
15;1;1,0
9;1;1,0
16;1;1,0
46;6;6,0
29;3;3,0
14;2;2,01
0;0;0,0
18;1;1,0
69;4;4,0
85;1;0,87
25;5;3,67
9;1;1,0
66;4;4,0
56;0;-0,0
42;1;1,0
30;6;6,0
24;5;4,99
60;1;1,0
2;1;0,33
68;3;4,0
32;1;1,0
28;2;0,8
19;1;1,0
45;4;4,01
75;24;24,0
73;5;5,0
67;5;4,99
5;1;1,0
37;2;2,0
74;2;2,0
68;3;4,0
78;1;1,0
17;1;1,0
